"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1130","Check change language via URL for assets widget [1] en, Trading Assets","","Thu Feb 06 21:56:28 GMT 2025","broken","Thu Feb 06 21:56:29 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","279","Verify clearing the application form results in reset state","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","shouldClearResultsInJobApplicationTest"
"","258","Filtering jobs by location should update job count and allow clearing filters","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsShouldUpdateJobsCountAndBeResettableTest"
"","1130","Check that job title remains the same after opening the job details page","","Thu Feb 06 21:56:28 GMT 2025","broken","Thu Feb 06 21:56:29 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","nameOfJobShouldBeTheSameAfterOpeningTest"
"","248","Check change language via URL for assets widget [3] vi, Tài sản giao dịch","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","1129","Filter by Search job input should update jobs count","","Thu Feb 06 21:56:28 GMT 2025","broken","Thu Feb 06 21:56:29 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsBySearchJobInputShouldUpdateJobsCountTest"
"","365","Job application page should contain all required elements","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","jobApplicationPageShouldContainRequiredElementsTest"
"","223","Check change language via URL for assets widget [5] th, สินทรัพย์การเทรด","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","1128","Check platforms in header","","Thu Feb 06 21:56:28 GMT 2025","broken","Thu Feb 06 21:56:29 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","platformsCheckTest"
"","334","Check change language via URL for assets widget [2] es, Operación con activos","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","1132","Check all main page elements (logo, buttons, language switcher, etc.)","","Thu Feb 06 21:56:28 GMT 2025","broken","Thu Feb 06 21:56:29 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","mainPageShouldHaveCorrectMainElementsTest"
"","372","Check change language via URL for assets widget [4] cn-tr, 交易資產","","Thu Feb 06 21:56:30 GMT 2025","broken","Thu Feb 06 21:56:30 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
